seed=0l; %0=95.000000; %1=90.250000; %2=85.737503
iteration,% infected sim 0,% infected sim 1,% infected sim 2
616,0.178000,0.365000,0.827000
617,0.178000,0.366000,0.827000
618,0.179000,0.368000,0.828000
619,0.179000,0.369000,0.828000
620,0.179000,0.370000,0.828000
621,0.180000,0.371000,0.828000
622,0.182000,0.376000,0.831000
623,0.182000,0.377000,0.832000
624,0.184000,0.378000,0.832000
625,0.184000,0.379000,0.832000
626,0.185000,0.383000,0.833000
627,0.185000,0.384000,0.834000
628,0.186000,0.388000,0.834000
629,0.188000,0.391000,0.835000
630,0.189000,0.393000,0.835000
631,0.190000,0.395000,0.836000
632,0.191000,0.397000,0.836000
633,0.191000,0.400000,0.836000
634,0.192000,0.401000,0.838000
635,0.192000,0.404000,0.840000
636,0.192000,0.405000,0.840000
637,0.193000,0.409000,0.840000
638,0.193000,0.410000,0.840000
639,0.193000,0.413000,0.840000
640,0.194000,0.416000,0.841000
641,0.195000,0.419000,0.841000
642,0.195000,0.423000,0.842000
643,0.196000,0.424000,0.844000
644,0.198000,0.426000,0.844000
645,0.198000,0.427000,0.844000
646,0.200000,0.428000,0.845000
647,0.200000,0.431000,0.845000
648,0.201000,0.439000,0.846000
649,0.202000,0.443000,0.847000
650,0.203000,0.444000,0.849000
651,0.203000,0.446000,0.850000
652,0.203000,0.451000,0.850000
653,0.203000,0.453000,0.850000
654,0.203000,0.456000,0.850000
655,0.205000,0.458000,0.851000
656,0.206000,0.460000,0.852000
657,0.207000,0.463000,0.852000
658,0.207000,0.465000,0.852000
659,0.209000,0.465000,0.852000
660,0.209000,0.469000,0.852000
661,0.209000,0.471000,0.853000
662,0.210000,0.472000,0.856000
663,0.210000,0.474000,0.856000
664,0.210000,0.474000,0.856000
665,0.211000,0.476000,0.857000
666,0.211000,0.476000,0.857000
667,0.211000,0.477000,0.857000
668,0.212000,0.477000,0.860000
669,0.212000,0.478000,0.861000
670,0.213000,0.481000,0.861000
671,0.213000,0.482000,0.861000
672,0.213000,0.485000,0.861000
673,0.213000,0.486000,0.862000
674,0.213000,0.486000,0.863000
675,0.214000,0.489000,0.863000
676,0.216000,0.489000,0.865000
677,0.216000,0.489000,0.865000
678,0.217000,0.492000,0.868000
679,0.218000,0.495000,0.869000
680,0.218000,0.498000,0.869000
681,0.220000,0.498000,0.869000
682,0.222000,0.499000,0.870000
683,0.222000,0.499000,0.870000
684,0.222000,0.502000,0.871000
685,0.224000,0.504000,0.871000
686,0.224000,0.505000,0.872000
687,0.224000,0.506000,0.873000
688,0.224000,0.507000,0.873000
689,0.226000,0.507000,0.873000
690,0.227000,0.508000,0.875000
691,0.227000,0.509000,0.875000
692,0.227000,0.510000,0.875000
693,0.227000,0.513000,0.875000
694,0.228000,0.514000,0.875000
695,0.230000,0.518000,0.876000
696,0.230000,0.519000,0.876000
697,0.231000,0.519000,0.876000
698,0.231000,0.520000,0.876000
699,0.231000,0.520000,0.878000
700,0.232000,0.520000,0.878000
701,0.234000,0.522000,0.878000
702,0.237000,0.524000,0.878000
703,0.237000,0.528000,0.879000
704,0.237000,0.533000,0.881000
705,0.237000,0.534000,0.883000
706,0.237000,0.536000,0.883000
707,0.237000,0.539000,0.883000
708,0.237000,0.541000,0.886000
709,0.237000,0.543000,0.886000
710,0.238000,0.545000,0.887000
711,0.242000,0.547000,0.888000
712,0.243000,0.548000,0.888000
713,0.244000,0.549000,0.888000
714,0.244000,0.550000,0.889000
715,0.244000,0.551000,0.891000
716,0.244000,0.553000,0.892000
717,0.244000,0.553000,0.894000
718,0.245000,0.555000,0.896000
719,0.246000,0.556000,0.896000
720,0.247000,0.556000,0.897000
721,0.248000,0.558000,0.897000
722,0.249000,0.559000,0.898000
723,0.249000,0.560000,0.899000
724,0.249000,0.563000,0.899000
725,0.250000,0.563000,0.900000
726,0.250000,0.565000,0.902000
727,0.250000,0.566000,0.902000
728,0.251000,0.566000,0.902000
729,0.251000,0.570000,0.902000
730,0.252000,0.574000,0.903000
731,0.253000,0.575000,0.905000
732,0.255000,0.576000,0.905000
733,0.257000,0.578000,0.905000
734,0.258000,0.578000,0.906000
735,0.258000,0.581000,0.907000
736,0.260000,0.583000,0.908000
737,0.262000,0.584000,0.908000
738,0.262000,0.584000,0.908000
739,0.263000,0.584000,0.908000
740,0.264000,0.586000,0.910000
741,0.264000,0.587000,0.910000
742,0.265000,0.589000,0.912000
743,0.267000,0.590000,0.912000
744,0.269000,0.592000,0.912000
745,0.270000,0.594000,0.912000
746,0.276000,0.596000,0.912000
747,0.276000,0.597000,0.915000
748,0.276000,0.597000,0.915000
749,0.277000,0.599000,0.917000
750,0.278000,0.600000,0.917000
751,0.278000,0.602000,0.917000
752,0.278000,0.605000,0.918000
753,0.278000,0.605000,0.918000
754,0.278000,0.607000,0.918000
755,0.279000,0.609000,0.920000
756,0.279000,0.609000,0.920000
757,0.280000,0.610000,0.920000
758,0.281000,0.613000,0.920000
759,0.281000,0.615000,0.920000
760,0.281000,0.616000,0.920000
761,0.284000,0.620000,0.921000
762,0.285000,0.621000,0.921000
763,0.286000,0.622000,0.921000
